Features;Accuracy
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 40];71.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 1];70.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 13];70.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 16];72.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 17];71.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 21];72.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 23];71.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 25];72.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 26];72.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 29];70.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 31];71.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 32];71.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 37];72.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38];72.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 40];70.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 1];71.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 13];69.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 16];70.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 17];70.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 21];71.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 23];71.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 25];71.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 26];71.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 29];70.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 31];72.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 32];70.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37];72.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 40];70.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 1];71.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 13];69.69999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 16];71.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 17];70.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21];72.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 23];71.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 25];71.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 26];71.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 29];71.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 31];69.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 32];71.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 40];72.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 1];71.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 13];69.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 16];71.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 17];71.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 23];72.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 25];72.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26];72.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 29];71.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 31];70.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 32];70.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 40];71.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 1];70.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 13];69.69999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 16];71.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 17];71.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 23];71.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 25];72.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 29];71.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 31];71.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32];72.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 40];71.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 1];70.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 13];68.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16];72.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 17];72.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 23];69.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 25];69.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 29];70.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 31];70.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 40];71.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 1];69.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 13];69.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17];71.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 23];70.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 25];71.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 29];69.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 31];70.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 40];70.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 1];71.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 13];68.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 23];70.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 25];70.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 29];69.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 31];70.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 40];68.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 1, 13];68.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 1, 23];70.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 1, 25];69.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 1, 29];69.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 1, 31];69.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 1, 40];68.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 1, 23, 13];68.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 1, 23, 25];68.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 1, 23, 29];68.10000000000001
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 1, 23, 31];68.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 1, 23, 40];67.9
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 1, 23, 31, 13];67.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 1, 23, 31, 25];68.10000000000001
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 1, 23, 31, 29];67.4
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 1, 23, 31, 40];67.4
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 1, 23, 31, 25, 13];68.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 1, 23, 31, 25, 29];67.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 1, 23, 31, 25, 40];67.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 1, 23, 31, 25, 13, 29];66.10000000000001
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 1, 23, 31, 25, 13, 40];67.4
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15, 38, 37, 21, 26, 32, 16, 17, 1, 23, 31, 25, 13, 40, 29];65.8
