Features;Accuracy
[33, 35, 4, 34, 2, 14, 10, 7, 1];78.7
[33, 35, 4, 34, 2, 14, 10, 7, 3];78.60000000000001
[33, 35, 4, 34, 2, 14, 10, 7, 5];76.5
[33, 35, 4, 34, 2, 14, 10, 7, 6];78.7
[33, 35, 4, 34, 2, 14, 10, 7, 8];78.0
[33, 35, 4, 34, 2, 14, 10, 7, 9];80.4
[33, 35, 4, 34, 2, 14, 10, 7, 11];79.5
[33, 35, 4, 34, 2, 14, 10, 7, 12];78.3
[33, 35, 4, 34, 2, 14, 10, 7, 13];76.9
[33, 35, 4, 34, 2, 14, 10, 7, 15];76.8
[33, 35, 4, 34, 2, 14, 10, 7, 16];79.2
[33, 35, 4, 34, 2, 14, 10, 7, 17];76.4
[33, 35, 4, 34, 2, 14, 10, 7, 18];79.60000000000001
[33, 35, 4, 34, 2, 14, 10, 7, 19];78.60000000000001
[33, 35, 4, 34, 2, 14, 10, 7, 20];77.5
[33, 35, 4, 34, 2, 14, 10, 7, 21];77.7
[33, 35, 4, 34, 2, 14, 10, 7, 22];78.60000000000001
[33, 35, 4, 34, 2, 14, 10, 7, 23];77.60000000000001
[33, 35, 4, 34, 2, 14, 10, 7, 24];78.7
[33, 35, 4, 34, 2, 14, 10, 7, 25];76.4
[33, 35, 4, 34, 2, 14, 10, 7, 26];76.4
[33, 35, 4, 34, 2, 14, 10, 7, 27];80.2
[33, 35, 4, 34, 2, 14, 10, 7, 28];76.3
[33, 35, 4, 34, 2, 14, 10, 7, 29];79.0
[33, 35, 4, 34, 2, 14, 10, 7, 30];78.2
[33, 35, 4, 34, 2, 14, 10, 7, 31];77.8
[33, 35, 4, 34, 2, 14, 10, 7, 32];78.9
[33, 35, 4, 34, 2, 14, 10, 7, 36];78.10000000000001
[33, 35, 4, 34, 2, 14, 10, 7, 37];77.10000000000001
[33, 35, 4, 34, 2, 14, 10, 7, 38];78.60000000000001
[33, 35, 4, 34, 2, 14, 10, 7, 39];80.60000000000001
[33, 35, 4, 34, 2, 14, 10, 7, 40];79.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 1];76.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 3];76.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 5];75.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 6];77.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 8];77.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9];79.10000000000001
[33, 35, 4, 34, 2, 14, 10, 7, 39, 11];78.10000000000001
[33, 35, 4, 34, 2, 14, 10, 7, 39, 12];76.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 13];76.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 15];77.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 16];78.4
[33, 35, 4, 34, 2, 14, 10, 7, 39, 17];75.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 18];78.4
[33, 35, 4, 34, 2, 14, 10, 7, 39, 19];75.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 20];76.4
[33, 35, 4, 34, 2, 14, 10, 7, 39, 21];76.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 22];77.5
